Training FashionMNIST score v2: 100 epochs, batch=256, device=auto
Checkpoints -> C:\Users\artun\Desktop\ITS-project\checkpoints\score_fmnist_v2
JSONL log    -> C:\Users\artun\Desktop\ITS-project\logs\fmnist_score_v2.jsonl
                    WARNING  High grad norm: 1476.57 at epoch=52 step=11521    
                    WARNING  High grad norm: 635.35 at epoch=52 step=11522     
                    WARNING  High grad norm: 1345.39 at epoch=52 step=11523    
                    WARNING  High grad norm: 707.90 at epoch=52 step=11524     
[04/21/26 23:09:25] WARNING  High grad norm: 2429.18 at epoch=52 step=11525    
                    WARNING  High grad norm: 1096.51 at epoch=52 step=11526    
                    WARNING  High grad norm: 673.20 at epoch=52 step=11527     
                    WARNING  High grad norm: 2064.82 at epoch=52 step=11528    
[04/21/26 23:09:26] WARNING  High grad norm: 922.67 at epoch=52 step=11529     
                    WARNING  High grad norm: 563.19 at epoch=52 step=11530     
                    WARNING  High grad norm: 574.13 at epoch=52 step=11531     
                    WARNING  High grad norm: 1241.93 at epoch=52 step=11532    
                    WARNING  High grad norm: 1003.67 at epoch=52 step=11533    
[04/21/26 23:09:27] WARNING  High grad norm: 2311.57 at epoch=52 step=11534    
                    WARNING  High grad norm: 947.70 at epoch=52 step=11535     
                    WARNING  High grad norm: 1283.01 at epoch=52 step=11536    
                    WARNING  High grad norm: 911.17 at epoch=52 step=11537     
