Training FashionMNIST score v2: 50 epochs, batch=256, device=auto
Checkpoints -> C:\Users\artun\Desktop\ITS-project\checkpoints\score_fmnist_v2
JSONL log    -> C:\Users\artun\Desktop\ITS-project\logs\fmnist_score_v2.jsonl
[04/19/26 17:32:56] WARNING  High grad norm: 10652.89 at epoch=16 step=3514    
                    WARNING  High grad norm: 9488.53 at epoch=16 step=3515     
                    WARNING  High grad norm: 12108.81 at epoch=16 step=3516    
[04/19/26 17:33:00] WARNING  High grad norm: 8544.89 at epoch=16 step=3517     
[04/19/26 17:33:01] WARNING  High grad norm: 10300.75 at epoch=16 step=3518    
                    WARNING  High grad norm: 10956.13 at epoch=16 step=3519    
                    WARNING  High grad norm: 12139.76 at epoch=16 step=3520    
[04/19/26 17:33:02] WARNING  High grad norm: 9181.19 at epoch=16 step=3521     
                    WARNING  High grad norm: 7648.85 at epoch=16 step=3522     
[04/19/26 17:33:06] WARNING  High grad norm: 9948.12 at epoch=16 step=3523     
[04/19/26 17:33:07] WARNING  High grad norm: 4888.26 at epoch=16 step=3524     
                    WARNING  High grad norm: 7781.68 at epoch=16 step=3525     
                    WARNING  High grad norm: 9650.60 at epoch=16 step=3526     
[04/19/26 17:33:12] WARNING  High grad norm: 8464.63 at epoch=16 step=3527     
                    WARNING  High grad norm: 14168.91 at epoch=16 step=3528    
[04/19/26 17:33:13] WARNING  High grad norm: 17877.16 at epoch=16 step=3529    
                    WARNING  High grad norm: 5110.12 at epoch=16 step=3530     
                    WARNING  High grad norm: 7119.03 at epoch=16 step=3531     
[04/19/26 17:33:17] WARNING  High grad norm: 4629.60 at epoch=16 step=3532     
                    WARNING  High grad norm: 6401.61 at epoch=16 step=3533     
[04/19/26 17:33:18] WARNING  High grad norm: 9939.49 at epoch=16 step=3534     
[04/19/26 17:33:21] WARNING  High grad norm: 4697.52 at epoch=16 step=3535     
                    WARNING  High grad norm: 8465.58 at epoch=16 step=3536     
[04/19/26 17:33:22] WARNING  High grad norm: 6118.18 at epoch=16 step=3537     
                    WARNING  High grad norm: 3196.11 at epoch=16 step=3538     
[04/19/26 17:33:25] WARNING  High grad norm: 3651.01 at epoch=16 step=3539     
[04/19/26 17:33:26] WARNING  High grad norm: 6625.14 at epoch=16 step=3540     
                    WARNING  High grad norm: 4212.90 at epoch=16 step=3541     
                    WARNING  High grad norm: 4744.78 at epoch=16 step=3542     
[04/19/26 17:33:27] WARNING  High grad norm: 10432.38 at epoch=16 step=3543    
[04/19/26 17:33:29] WARNING  High grad norm: 12225.27 at epoch=16 step=3544    
                    WARNING  High grad norm: 15189.21 at epoch=16 step=3545    
[04/19/26 17:33:30] WARNING  High grad norm: 13756.98 at epoch=16 step=3546    
[04/19/26 17:33:32] WARNING  High grad norm: 8918.04 at epoch=16 step=3547     
                    WARNING  High grad norm: 4019.12 at epoch=16 step=3548     
[04/19/26 17:33:33] WARNING  High grad norm: 14447.14 at epoch=16 step=3549    
                    WARNING  High grad norm: 9211.66 at epoch=16 step=3550     
                    WARNING  High grad norm: 6295.72 at epoch=16 step=3551     
[04/19/26 17:33:35] WARNING  High grad norm: 8523.12 at epoch=16 step=3552     
                    WARNING  High grad norm: 11221.83 at epoch=16 step=3553    
[04/19/26 17:33:36] WARNING  High grad norm: 8131.17 at epoch=16 step=3554     
                    WARNING  High grad norm: 17305.23 at epoch=16 step=3555    
[04/19/26 17:33:38] WARNING  High grad norm: 12170.73 at epoch=16 step=3556    
                    WARNING  High grad norm: 3986.46 at epoch=16 step=3557     
                    WARNING  High grad norm: 5277.32 at epoch=16 step=3558     
[04/19/26 17:33:39] WARNING  High grad norm: 7928.51 at epoch=16 step=3559     
